SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Gyr_Z(rad/sec),Heading (rad) 
133078,0.056289,-0.295784,0.020715,6.379803,-84.469612,-5.838864,0.000361539,-0.101888177
133178,0.047224,-0.284579,0.023325,6.47129,-84.630106,-5.903801,0.000407091,-0.103021327
133278,0.045125,-0.24288,0.024928,6.525843,-84.766907,-5.932848,0.000435068,-0.103528198
133378,0.03368,-0.186442,0.027364,6.518571,-84.87167,-5.906404,0.000477584,-0.10306675
133478,0.013726,-0.13079,0.029057,6.446668,-84.944784,-5.826563,0.000507132,-0.101673524
133578,-0.009536,-0.088862,0.031306,6.313516,-84.994081,-5.698631,0.000546384,-0.099441111
133678,-0.024708,-0.074464,0.031432,6.157566,-85.035091,-5.556555,0.000548583,-0.096961885
133778,-0.023954,-0.076887,0.029224,6.015528,-85.077249,-5.428022,0.000510046,-0.094718984
133878,-0.014503,-0.087238,0.023891,5.919045,-85.124905,-5.339789,0.00041697,-0.093179318
133978,0.012013,-0.087976,0.01559,5.892193,-85.172434,-5.306201,0.000272092,-0.092593207
134078,0.040754,-0.084473,0.011041,5.90939,-85.217653,-5.300297,0.000192699,-0.092490183
134178,0.059562,-0.072917,0.003181,5.982745,-85.255781,-5.339939,5.5518E-05,-0.093181936
134278,0.064227,-0.063824,-0.002871,6.09435,-85.288318,-5.415283,-5.01076E-05,-0.094496688
134378,0.054059,-0.055349,-0.006265,6.218122,-85.315767,-5.508681,-0.000109343,-0.096126483
134478,0.03263,-0.064114,-0.010231,6.364985,-85.347907,-5.637567,-0.000178562,-0.098375544
134578,0.015261,-0.084361,-0.011294,6.527169,-85.391451,-5.791804,-0.000197114,-0.10106698
134678,0.029764,-0.11285,-0.013067,6.736837,-85.451029,-5.985335,-0.000228058,-0.104444096
134778,0.073472,-0.118227,-0.018239,7.018665,-85.513227,-6.226119,-0.000318325,-0.108645777
134878,0.136274,-0.094575,-0.02239,7.351448,-85.561567,-6.481909,-0.000390773,-0.113109312
134978,0.201014,-0.045731,-0.026388,7.70816,-85.581726,-6.724489,-0.00046055,-0.117342333
135078,0.239213,0.023179,-0.034105,8.074069,-85.562013,-6.954348,-0.000595235,-0.121353373
135178,0.229932,0.085443,-0.044261,8.43839,-85.505961,-7.187969,-0.000772487,-0.125430059
135278,0.171064,0.132555,-0.055497,8.789472,-85.422,-7.442177,-0.000968589,-0.129865989
135378,0.059695,0.172567,-0.070575,9.125896,-85.313732,-7.745747,-0.001231745,-0.135163285
